match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_05_04_the_fibrillators_vs_illuminati__1,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,1,1,The Fibrillators,0.1,0,1,Tejasree,Pavithra Murugesh,no run,"Tejasree to Pavithra Murugesh, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__2,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,2,1,The Fibrillators,0.2,0,2,Tejasree,Pavithra Murugesh,no run,"Tejasree to Pavithra Murugesh, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__3,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,3,1,The Fibrillators,0.3,0,3,Tejasree,Pavithra Murugesh,no run,"Tejasree to Pavithra Murugesh, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__4,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,4,1,The Fibrillators,0.4,0,4,Tejasree,Pavithra Murugesh,no run,"Tejasree to Pavithra Murugesh, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__5,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,5,1,The Fibrillators,0.5,0,5,Tejasree,Pavithra Murugesh,no run,"Tejasree to Pavithra Murugesh, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__6,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,6,1,The Fibrillators,1.0,1,0,Tejasree,Pavithra Murugesh,no run,"Tejasree to Pavithra Murugesh, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__7,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,8,1,The Fibrillators,1.1,1,1,Sibin k s,Arvind Thomas,no run,"Sibin k s to Arvind Thomas, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__8,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,9,1,The Fibrillators,1.2,1,2,Sibin k s,Arvind Thomas,no run,"Sibin k s to Arvind Thomas, no run",0,0,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__9,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,10,1,The Fibrillators,1.3,1,3,Sibin k s,Arvind Thomas,1 run,"Sibin k s to Arvind Thomas, 1 run",1,1,0,,0,,0,,1
2026_05_04_the_fibrillators_vs_illuminati__10,2026_05_04_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-05-04,The Fibrillators vs Illuminati (2026-05-04),The Fibrillators,Illuminati,The Fibrillators_2026-05-04.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-05-04 _ CricHeroes.csv,The Fibrillators,11,1,The Fibrillators,1.4,1,4,Sibin k s,Gokul S,wide,"Sibin k s to Gokul S, wide",1,0,1,wide,0,,0,,0
