match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_20_minions_vs_akatsuki_corps__1,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,1,1,Minions,0.1,0,1,Sharmila S,Vinay LS,no run,"Sharmila S to Vinay LS, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__2,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,2,1,Minions,0.2,0,2,Sharmila S,Vinay LS,1 run,"Sharmila S to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__3,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,3,1,Minions,0.3,0,3,Sharmila S,Roja L S,no run,"Sharmila S to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__4,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,4,1,Minions,0.4,0,4,Sharmila S,Roja L S,no run,"Sharmila S to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__5,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,5,1,Minions,0.5,0,5,Sharmila S,Roja L S,no run,"Sharmila S to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__6,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,6,1,Minions,1.0,1,0,Sharmila S,Roja L S,OUT Stumped,"Sharmila S to Roja L S, OUT Stumped Roja L S st †Kannanp b Sharmila S (0r 4b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_20_minions_vs_akatsuki_corps__7,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,7,1,Minions,1.1,1,1,Raghi,Sayooj Kalapurakkal,no run,"Raghi to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__8,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,8,1,Minions,1.2,1,2,Raghi,Sayooj Kalapurakkal,no run,"Raghi to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__9,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,9,1,Minions,1.3,1,3,Raghi,Sayooj Kalapurakkal,no run,"Raghi to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__10,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,10,1,Minions,1.4,1,4,Raghi,Sayooj Kalapurakkal,1 run,"Raghi to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__11,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,11,1,Minions,1.5,1,5,Raghi,Vinay LS,1 run,"Raghi to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__12,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,12,1,Minions,2.0,2,0,Raghi,Sayooj Kalapurakkal,no run,"Raghi to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__13,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,13,1,Minions,2.1,2,1,Shadab,Vinay LS,FOUR,"Shadab to Vinay LS, FOUR",4,4,0,,1,FOUR,0,,1
2026_04_20_minions_vs_akatsuki_corps__14,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,14,1,Minions,2.2,2,2,Shadab,Vinay LS,1 run,"Shadab to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__15,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,15,1,Minions,2.3,2,3,Shadab,Sayooj Kalapurakkal,no run,"Shadab to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_20_minions_vs_akatsuki_corps__16,2026_04_20_minions_vs_akatsuki_corps,Minions vs Akatsuki Corps,2026-04-20,Minions vs Akatsuki Corps (2026-04-20),Minions,Akatsuki Corps,Minions_2026-04-20.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs Akatsuki Corps _ 2026-04-20 _ CricHeroes.csv,Minions,16,1,Minions,2.4,2,4,Shadab,Sayooj Kalapurakkal,no run,"Shadab to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
